Iter 980000,error 0.827
Iter 981000,error 0.809
Iter 982000,error 0.8
Iter 983000,error 0.807
Iter 984000,error 0.807
Iter 985000,error 0.797
Iter 986000,error 0.8
Iter 987000,error 0.81
Iter 988000,error 0.8
Iter 989000,error 0.798
Iter 990000,error 0.8
Iter 991000,error 0.811
Iter 992000,error 0.799
Iter 993000,error 0.798
Iter 994000,error 0.805
Iter 995000,error 0.809
Iter 996000,error 0.801
Iter 997000,error 0.8
Iter 998000,error 0.804
Iter 999000,error 0.81
Iter 1000000,error 0.799
Iter 1001000,error 0.82
Iter 1002000,error 0.805
Iter 1003000,error 0.806
Iter 1004000,error 0.798
Iter 1005000,error 0.801
Iter 1006000,error 0.797
Iter 1007000,error 0.802
Iter 1008000,error 0.806
Iter 1009000,error 0.818
Iter 1010000,error 0.8
Iter 1011000,error 0.808
Iter 1012000,error 0.799
Iter 1013000,error 0.816
Iter 1014000,error 0.811
Iter 1015000,error 0.803
Iter 1016000,error 0.8
Iter 1017000,error 0.813
Iter 1018000,error 0.804
Iter 1019000,error 0.797
Iter 1020000,error 0.814
Iter 1021000,error 0.795
Iter 1022000,error 0.811
Iter 1023000,error 0.803
Iter 1024000,error 0.805
Iter 1025000,error 0.803
Iter 1026000,error 0.799
Iter 1027000,error 0.807
Iter 1028000,error 0.808
Iter 1029000,error 0.797
Iter 1030000,error 0.8
Iter 1031000,error 0.8
Iter 1032000,error 0.798
Iter 1033000,error 0.809
Iter 1034000,error 0.803
Iter 1035000,error 0.806
Iter 1036000,error 0.798
Iter 1037000,error 0.798
Iter 1038000,error 0.795
Iter 1039000,error 0.807
Iter 1040000,error 0.808
Iter 1041000,error 0.799
Iter 1042000,error 0.796
Iter 1043000,error 0.798
Iter 1044000,error 0.809
Iter 1045000,error 0.799
Iter 1046000,error 0.806
Iter 1047000,error 0.806
Iter 1048000,error 0.803
Iter 1049000,error 0.809
Iter 1050000,error 0.811
Iter 1051000,error 0.796
Iter 1052000,error 0.795
Iter 1053000,error 0.816
Iter 1054000,error 0.818
Iter 1055000,error 0.809
Iter 1056000,error 0.802
Iter 1057000,error 0.804
Iter 1058000,error 0.8
Iter 1059000,error 0.795
Iter 1060000,error 0.796
Iter 1061000,error 0.795
Iter 1062000,error 0.804
Iter 1063000,error 0.797
Iter 1064000,error 0.802
Iter 1065000,error 0.813
Iter 1066000,error 0.795
Iter 1067000,error 0.795
Iter 1068000,error 0.795
Iter 1069000,error 0.81
Iter 1070000,error 0.803
